what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1341486032329
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1341486033564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341486040260
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1341486152637
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1341486152663
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20111006_r372,"org.eclipse.jdt.launching.macosx",1341486152685
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1341486162737
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1341486162772
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1341486162887
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1341486163115
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1341486164449
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1341486164468
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1341486164553
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1341486164597
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1341486164631
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1341486164662
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1341486164664
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1341486164694
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1341486164835
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1341486164838
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1341486165016
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1341486165357
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1341486165780
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1341486166098
error,log,,,"Failed to load properties file for project 'NotifyMultiplexerAndroid'",1341486166181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341486166957
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1341486167343
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1341486167545
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1341486167801
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1341486167909
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1341486167945
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1341486168163
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1341486168606
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1341486170296
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1341486171709
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1341486172877
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1341486173295
opened,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1341486173660
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1341486174751
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1341486175132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341486177620
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341486225473
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1341486247417
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341486251328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341489269976
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1341489270066
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1341489270066
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1341489275169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341489281139
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341489281343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341489336706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341533059778
opened,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1341533064155
started,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1341533064330
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1341533064427
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1341533065183
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341533093593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341533108766
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341533113896
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341533116398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341533119647
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341533138212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341533144334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341533147132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341533148373
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341533200163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341533202621
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341533205684
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341533213504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341533216518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341533221717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341533226758
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341533233391
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341533235577
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1341533256143
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1341533259094
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1341533260137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341533303932
